postcode,sector,average_household
BN1 5PF,BN1 5,15.0
BN7 2HP,BN7 2,11.0
TN6 3AW,TN6 3,7.0
BN3 7LP,BN3 7,14.0
DA16 2DU,DA16 2,22.0
RM13 8LA,RM13 8,9.0
SO32 1GJ,SO32 1,10.0
OX11 9PN,OX11 9,9.0
PO9 1EY,PO9 1,9.0
KT1 3JH,KT1 3,16.0
BN25 1RR,BN25 1,10.0
KT17 4DG,KT17 4,11.0
TN6 2XA,TN6 2,11.0
BR3 4SF,BR3 4,16.0
W1S 2XS,W1S 2,
BN16 2HL,BN16 2,13.0
E4 6FA,E4 6,19.0
RG29 1JJ,RG29 1,8.0
PO5 2UB,PO5 2,14.0
ME1 3SJ,ME1 3,12.0
W1W 8QX,W1W 8,
BR8 7BP,BR8 7,17.0
RG14 6BW,RG14 6,13.0
PO10 7JT,PO10 7,12.0
SO15 5BX,SO15 5,15.0
RG21 7SY,RG21 7,7.0
DA14 4DW,DA14 4,16.0
BH25 5GY,BH25 5,14.0
MK17 0BG,MK17 0,9.0
E3 3TT,E3 3,11.0
PO19 7WX,PO19 7,14.0
SO41 0PZ,SO41 0,14.0
SE6 3LE,SE6 3,18.0
GU29 9RT,GU29 9,9.0
GU7 2RU,GU7 2,9.0
SW1W 9AH,SW1W 9,5.0
SO19 8PA,SO19 8,18.0
BN20 7AH,BN20 7,11.0
SO50 4LE,SO50 4,16.0
SO23 7AX,SO23 7,11.0
SS12 9AG,SS12 9,16.0
SO41 9ND,SO41 9,9.0
E11 2RQ,E11 2,16.0
SE22 8SU,SE22 8,13.0
BH25 5WY,BH25 5,14.0
N8 0SE,N8 0,16.0
E10 6XU,E10 6,17.0
WC2B 5LH,WC2B 5,3.0
SE1 1GD,SE1 1,6.0
SS15 6PP,SS15 6,13.0
HP21 9AP,HP21 9,13.0
PO12 3LR,PO12 3,18.0
NW4 4SE,NW4 4,9.0
E1 3HP,E1 3,12.0
HA8 8GA,HA8 8,14.0
IG11 0PP,IG11 0,10.0
SL5 7NB,SL5 7,7.0
ME12 2QT,ME12 2,19.0
BN15 8RG,BN15 8,14.0
UB3 2LP,UB3 2,14.0
SO18 5GU,SO18 5,15.0
E3 3HR,E3 3,11.0
TN14 5LF,TN14 5,9.0
CT9 5JA,CT9 5,16.0
SE19 3NN,SE19 3,14.0
TN25 4AD,TN25 4,9.0
GU30 7RP,GU30 7,10.0
HP22 4QL,HP22 4,8.0
W1W 7ST,W1W 7,2.0
BN11 3LN,BN11 3,10.0
BR1 1TS,BR1 1,1.0
SE1 9TH,SE1 9,4.0
SE12 0DB,SE12 0,14.0
TN11 9SP,TN11 9,8.0
BN17 6HN,BN17 6,17.0
SW19 6TN,SW19 6,16.0
BN41 1NN,BN41 1,11.0
TN15 6LE,TN15 6,12.0
SS0 7FL,SS0 7,17.0
PO21 4TN,PO21 4,12.0
HP16 0SH,HP16 0,9.0
SO53 3FJ,SO53 3,10.0
HP13 5EL,HP13 5,14.0
SE9 3DG,SE9 3,18.0
W3 8FE,W3 8,12.0
E9 5PT,E9 5,15.0
BR7 5LN,BR7 5,9.0
SO23 8HS,SO23 8,4.0
DA7 4HB,DA7 4,17.0
KT3 5RE,KT3 5,15.0
SW15 5LQ,SW15 5,14.0
HP19 9UU,HP19 9,16.0
GU24 0JZ,GU24 0,8.0
RM17 5HB,RM17 5,15.0
SO45 1ZT,SO45 1,14.0
UB10 0GD,UB10 0,12.0
KT16 0HH,KT16 0,10.0
CT10 3HR,CT10 3,13.0
OX12 9RN,OX12 9,10.0
UB7 8EB,UB7 8,13.0
W1T 3PG,W1T 3,1.0
SO50 5FL,SO50 5,14.0
PO36 0ET,PO36 0,11.0
TN22 5RB,TN22 5,9.0
ME15 7AS,ME15 7,15.0
SE18 6HT,SE18 6,12.0
W6 9QX,W6 9,10.0
OX39 4TL,OX39 4,9.0
PO1 1LB,PO1 1,9.0
TW7 5XG,TW7 5,11.0
TW10 7DY,TW10 7,11.0
NW8 9AN,NW8 9,11.0
TN20 6NY,TN20 6,7.0
W6 7PD,W6 7,10.0
KT10 0RG,KT10 0,12.0
E2 6LZ,E2 6,15.0
KT12 4BX,KT12 4,11.0
SW10 9DN,SW10 9,14.0
SE9 5PA,SE9 5,14.0
SS15 6AB,SS15 6,13.0
UB10 9DW,UB10 9,17.0
GU4 8RR,GU4 8,9.0
HA1 4AE,HA1 4,13.0
IG2 6LZ,IG2 6,14.0
RM2 6AP,RM2 6,15.0
E14 3GX,E14 3,20.0
W6 8NY,W6 8,13.0
HA5 2RP,HA5 2,13.0
ME2 4RL,ME2 4,8.0
NW1 1XB,NW1 1,9.0
RG9 1UE,RG9 1,11.0
SO50 4JP,SO50 4,16.0
SL2 3XN,SL2 3,8.0
SS14 3RB,SS14 3,6.0
CT19 5RW,CT19 5,13.0
SW4 0DF,SW4 0,11.0
PO4 9RU,PO4 9,20.0
ME14 4DX,ME14 4,11.0
SO51 6ZA,SO51 6,10.0
IG3 9LL,IG3 9,16.0
NW1 0EH,NW1 0,8.0
TN37 6AB,TN37 6,19.0
TN27 0DL,TN27 0,8.0
SS4 3EU,SS4 3,14.0
TW4 6LR,TW4 6,9.0
TN36 4LH,TN36 4,11.0
RG1 8LG,RG1 8,5.0
SE6 3AQ,SE6 3,18.0
SW16 6XU,SW16 6,17.0
RH20 2PY,RH20 2,10.0
W1K 7TD,W1K 7,3.0
BR3 6QJ,BR3 6,14.0
IG1 3QW,IG1 3,17.0
TN29 0JA,TN29 0,11.0
MK18 2LW,MK18 2,8.0
PO18 8NT,PO18 8,9.0
N3 2TN,N3 2,11.0
N16 9PJ,N16 9,15.0
TN21 8BX,TN21 8,9.0
CT11 8EY,CT11 8,13.0
DA6 7LB,DA6 7,8.0
OX44 9ES,OX44 9,8.0
W1F 9ZN,W1F 9,
RG2 7DX,RG2 7,15.0
NW6 4AJ,NW6 4,11.0
GU8 5QZ,GU8 5,10.0
SE16 4JB,SE16 4,11.0
NW2 6BE,NW2 6,11.0
E5 9NB,E5 9,17.0
RG24 7BJ,RG24 7,11.0
N1 0SR,N1 0,13.0
SO15 3BH,SO15 3,12.0
TN34 1QD,TN34 1,9.0
HA1 2XZ,HA1 2,8.0
BN15 8BQ,BN15 8,14.0
CR0 8JT,CR0 8,18.0
ME5 9PH,ME5 9,14.0
CT5 2NJ,CT5 2,14.0
SO24 9EQ,SO24 9,9.0
RH2 0BZ,RH2 0,10.0
PO4 0HY,PO4 0,20.0
HA1 1QN,HA1 1,8.0
SP10 5AP,SP10 5,10.0
N1 2DJ,N1 2,14.0
RG14 1XE,RG14 1,9.0
SO14 1ND,SO14 1,11.0
BN27 2NZ,BN27 2,9.0
BN18 0LF,BN18 0,10.0
RM12 5TR,RM12 5,19.0
PO20 3TG,PO20 3,13.0
RG7 1LZ,RG7 1,7.0
KT15 1BJ,KT15 1,13.0
SO23 8RB,SO23 8,4.0
E5 8DT,E5 8,19.0
CM13 3DT,CM13 3,8.0
SW19 1DH,SW19 1,14.0
ME15 0DS,ME15 0,7.0
N15 6ED,N15 6,16.0
ME17 2BX,ME17 2,7.0
RG23 7LW,RG23 7,10.0
GU21 4PB,GU21 4,10.0
TW9 2JR,TW9 2,9.0
PO11 0NB,PO11 0,13.0
TN28 8HB,TN28 8,11.0
GU52 6DX,GU52 6,15.0
PO4 0LW,PO4 0,20.0
SW8 1BF,SW8 1,14.0
RH15 0QG,RH15 0,12.0
UB3 1SH,UB3 1,9.0
RH12 1JD,RH12 1,9.0
