postcode,easting,northing,river_level,tide_level,rainfall_level
PO7 8PR,469395,108803,0.049885417,1.189,0.0
SO17 1NS,442771,114321,1.5491875,1.189,0.0
TN28 8XN,606861,124689,0.05,1.36,0.008333333
KT3 4JW,521649,168848,0.789958333,1.453,0.0
CT2 8AA,614532,158074,0.385541667,1.36,0.025
HP6 5DP,496752,198227,0.400927083,1.189,0.016666667
SW1X 0BJ,527884,179011,1.088635417,1.453,0.0
W9 3QP,524945,182135,0.083416667,1.453,0.0
CT2 7ED,614611,158198,0.385541667,1.36,0.025
N15 6BB,534210,188365,5.802614583,1.453,0.0
RH16 2BT,534288,125622,0.138822917,1.453,0.004166667
RG20 8XF,447836,173184,1.3541875,1.189,0.0
GU27 3QT,487467,132502,0.965916667,1.189,0.0
OX10 8NL,459875,188939,0.224510417,1.189,0.0
E10 5HJ,537321,186868,0.171541667,1.289,0.0
SE15 2TP,534773,176578,0.087645833,1.453,0.008333333
E14 3AT,537810,178448,0.050947917,1.453,0.008333333
KT13 8LR,507554,165664,0.16090625,1.453,0.0
SM1 1EL,525857,164189,0.977114583,1.453,0.008333333
SE28 8QY,547887,181169,-1.24275,1.289,0.0
RH20 4BB,511983,110894,-3.331583333,1.453,0.0
PO22 6BP,496554,100296,0.055479167,1.189,0.0
HA3 9QR,518914,188969,0.177635417,1.453,0.0
BN14 9DA,514569,104495,-3.331583333,1.453,0.008333333
PO10 8AN,475699,105850,0.24828125,1.189,0.0
HA8 8FP,518631,192739,6.790083333,1.453,0.0
SW13 9NT,521924,177008,1.24978125,1.453,0.0
RM1 4QU,550575,189937,0.3786875,1.289,0.0
ME12 3TJ,594208,171913,0.162083333,1.289,0.004166667
N15 4LF,533348,189428,0.054510417,1.453,0.0
OX13 6HW,448266,199293,0.616552083,1.189,0.0
KT8 1RB,513037,168393,1.676614583,1.453,0.0
TN9 2AT,559105,145546,1.194522222,1.453,0.0
TW15 3DB,505811,172322,0.485197917,1.453,0.0
N12 0HL,525921,191480,0.246822917,1.453,0.0
BN21 4QH,561193,98853,0.1488125,1.453,0.0
BN21 4QH,561193,98853,0.1488125,1.453,0.008333333
TW9 1SA,518104,174832,2.055427083,1.453,0.0
SO14 5AD,443194,112400,1.5491875,1.189,0.0
TW1 3BB,516898,173785,2.055427083,1.453,0.0
BR1 2EP,542404,167870,0.897697917,1.453,0.0
GU10 5EE,481646,146157,0.185645833,1.189,0.0
TN8 6QG,541020,148267,0.926635417,1.453,0.0
CT11 8EL,638716,165540,0.163479167,1.36,0.0
N17 7PZ,532332,190654,0.054510417,1.453,0.0
N17 0JQ,533993,191031,0.054510417,1.289,0.0
BN14 9HJ,515022,104543,1.18546875,1.453,0.008333333
W13 9NS,517015,180390,0.875697917,1.453,0.0
NW6 6HH,523800,182980,0.083416667,1.453,0.0
CT12 6BP,636997,166465,0.163479167,1.36,0.0
GU21 2RL,495905,158031,0.361614583,1.189,0.0
TW17 0LY,507068,168638,0.16090625,1.453,0.0
E3 5RP,536129,182960,5.802614583,1.453,0.008333333
CT1 2JX,615031,157734,0.385541667,1.36,0.008333333
OX14 2EE,450277,198076,0.49165625,1.189,0.0
TW18 2HQ,503960,169806,0.22371875,1.453,0.0
SN6 7PR,423609,193768,0.397,0.743,0.0
GU46 6YD,481341,159881,1.3520625,1.189,0.0
TN40 2LY,575135,108389,0.05,1.453,0.008333333
SE19 3DF,533012,169467,0.976458333,1.453,0.008333333
SS8 7ES,580633,183077,0.466239583,1.289,0.008333333
GU9 8LJ,484120,145941,0.185645833,1.189,0.0
SP11 0JX,434357,156490,0.052895833,1.189,0.025
SW10 9NR,526361,177941,1.088635417,1.453,0.0
E4 9DB,537575,192150,1.050166667,1.289,0.0
W1G 9DW,528815,181582,0.795927083,1.453,0.0
HP12 4RS,484037,192057,0.169916667,1.189,0.0
SS7 3QL,579309,188563,0.466239583,1.289,0.008333333
GU21 5BZ,501188,159432,0.777947917,1.189,0.0
RH19 3GH,539372,138171,0.926635417,1.453,0.0
ME17 3RJ,579684,150167,0.2119375,1.289,0.0
SE4 2FL,536242,175890,0.087645833,1.453,0.008333333
HA0 2TE,516362,185411,0.177635417,1.453,0.0
HP8 4AA,500353,195395,0.400927083,1.189,0.016666667
TW13 5DU,511496,173012,0.06309375,1.453,0.0
BN27 4LF,563636,112537,0.076489583,1.453,0.008333333
W1J 0QP,529180,180515,0.795927083,1.453,0.0
W1S 3PH,529158,180764,0.795927083,1.453,0.0
PO22 7LS,495907,99845,0.055479167,1.189,0.0
SW18 1PX,524873,174454,1.088635417,1.453,0.0
BN41 1PS,525061,105228,1.18546875,1.453,0.016666667
RH6 9LL,529221,144424,1.948333333,1.453,0.004166667
KT22 7TA,516313,157159,1.22046875,1.453,0.0
TW7 4EW,515096,176245,0.171260417,1.453,0.0
E14 3JD,538312,179405,0.050947917,1.453,0.008333333
SW9 9DY,530307,176093,0.883375,1.453,0.008333333
PO17 5DT,455958,109417,0.179208333,1.189,0.0
GU3 1DS,494792,146781,1.866697917,1.189,0.0
GU31 4SS,475065,124180,0.113354167,1.189,0.0
TW15 2BU,507609,171069,0.485197917,1.453,0.0
CT11 7NB,638194,165546,0.163479167,1.36,0.0
RH11 8YA,526412,136026,0.203989583,1.453,0.008333333
RG42 4BG,484492,169776,0.18003125,1.189,0.0
E14 7BD,537245,181654,5.802614583,1.453,0.008333333
SE18 3QL,543748,177619,0.196427083,1.289,0.0
HA8 9PF,520381,192284,0.762697917,1.453,0.0
RG27 8HW,475794,156085,0.206947917,1.189,0.0
TN30 7JP,594045,127824,1.018520833,1.289,0.0
TN30 7JP,594045,127824,0.826625,1.289,0.0
RM8 1SP,547817,187465,0.394677083,1.289,0.0
BN16 2NA,504078,101536,-3.331583333,1.453,0.0
BN16 1AB,506865,103090,-3.331583333,1.453,0.0
PO6 1TW,466863,104647,0.049885417,1.189,0.0
TW18 3LH,503406,169628,0.406520833,1.453,0.0
GU14 7TJ,486865,155767,0.851354167,1.189,0.0
SW15 5QN,522328,175334,1.24978125,1.453,0.0
TN24 8AR,601229,142520,0.92284375,1.289,0.004166667
RM6 6DW,548650,188154,0.394677083,1.289,0.0
SW4 7XS,529383,175459,0.883375,1.453,0.008333333
BN2 7BD,535863,103819,-5.02471875,1.453,0.016666667
SO16 7DS,441817,115765,1.5491875,1.189,0.0
DA7 4EN,548021,175791,0.304677083,1.289,0.0
TN27 8DF,584956,136212,0.347229167,1.289,0.008333333
SO15 2TD,441312,113262,0.044114583,1.189,0.004166667
BN27 2HF,559215,109075,0.1488125,1.453,0.008333333
RH10 7BD,529740,137288,0.770395833,1.453,0.008333333
TN9 2AB,558818,145808,1.194522222,1.453,0.0
NW9 5BS,520395,190150,0.636010417,1.453,0.0
HA3 7SY,515790,189563,0.177635417,1.453,0.0
E17 7AQ,535967,188949,0.171541667,1.289,0.0
HA9 9NF,519430,186778,0.076614583,1.453,0.0
SO51 0QP,439595,127683,0.347166667,1.189,0.004166667
CM13 1TN,563102,195733,0.40121875,1.289,0.008333333
RG27 9DF,472578,154066,0.151854167,1.189,0.0
KT19 7LJ,519338,162608,0.209322917,1.453,0.0
TN34 3LA,582288,110300,0.203041667,1.453,0.0
TW14 0TW,510683,174936,0.06309375,1.453,0.0
RG20 5TF,452509,158989,0.0810625,1.189,0.0
TN39 3SS,571972,107290,0.05,1.453,0.008333333
CT3 4GD,619896,161810,0.22603125,1.36,0.008333333
GU32 1NX,467830,121854,0.131645833,1.189,0.004166667
RG22 6EP,462533,150969,1.0271875,1.189,0.0
PO20 8LA,480690,96315,0.25321875,1.189,0.0
GU31 5LF,478911,119490,0.113354167,1.189,0.0
SW19 1WZ,524334,170172,0.559625,1.453,0.0
RM14 3SX,564681,186167,0.466239583,1.289,0.008333333
E1 5BZ,534523,181834,5.802614583,1.453,0.008333333
